Sample;groupe.x;study.day.x;Abundance.x;OTU;sample;collection;groupe.y;phase;stald;hold;sti;study.day.y;Lysis
S1.338;1;8;17686;sp17;S1.338;07.04.2022;1;1;13;1;68;8;FP
S2.191;2;8;13806;sp17;S2.191;19.05.2022;2;1;11;32;40;8;FP
S1.397;1;15;12448;sp17;S1.397;21.04.2022;1;2;14;10;96;15;FP
S3.40;3;8;10942;sp17;S3.40;07.04.2022;3;1;13;1;69;8;FP
S3.43;3;8;10281;sp17;S3.43;12.05.2022;3;1;10;30;34;8;FP
S2.176;2;8;9093;sp17;S2.176;12.05.2022;2;1;10;30;35;8;FP
S2.183;2;8;8371;sp17;S2.183;07.04.2022;2;1;13;6;82;8;FP
S2.167;2;8;7619;sp17;S2.167;28.04.2022;2;1;8;20;5;8;FP
S2.161;2;1;7513;sp17;S2.161;07.04.2022;2;1;14;9;93;1;FP
S3.70;3;15;7271;sp17;S3.70;25.05.2022;3;2;11;34;46;15;FP
S1.413;1;15;6947;sp17;S1.413;19.05.2022;1;2;10;30;36;15;FP
S2.260;2;54;6592;sp17;S2.260;23.05.2022;2;3;13;2;71;54;FP
S3.69;3;15;6254;sp17;S3.69;21.04.2022;3;2;14;12;102;15;FP
S1.320;1;8;5966;sp17;S1.320;12.05.2022;1;1;10;27;25;8;FP
S2.212;2;15;5557;sp17;S2.212;19.05.2022;2;2;10;27;27;15;FP
S2.187;2;8;5487;sp17;S2.187;07.04.2022;2;1;13;2;71;8;FP
S2.165;2;8;4976;sp17;S2.165;28.04.2022;2;1;8;22;11;8;FP
S3.62;3;15;4864;sp17;S3.62;21.04.2022;3;2;14;10;95;15;FP
S2.171;2;8;4668;sp17;S2.171;13.04.2022;2;1;14;9;93;8;FP
S3.66;3;15;4473;sp17;S3.66;05.05.2022;3;2;8;21;8;15;FP
S1.409;1;15;4412;sp17;S1.409;25.05.2022;1;2;11;32;42;15;FP
S1.295;1;1;4124;sp17;S1.295;31.03.2022;1;1;13;4;76;1;FP
S2.157;2;1;3755;sp17;S2.157;31.03.2022;2;1;13;5;81;1;FP
S2.153;2;1;3657;sp17;S2.153;31.03.2022;2;1;13;1;67;1;FP
S2.149;2;1;3641;sp17;S2.149;12.05.2022;2;1;11;32;40;1;FP
S3.71;3;15;3457;sp17;S3.71;25.05.2022;3;2;11;33;44;15;FP
S3.29;3;8;3417;sp17;S3.29;13.04.2022;3;1;14;10;95;8;FP
S3.47;3;8;3376;sp17;S3.47;12.05.2022;3;1;10;27;26;8;FP
S2.170;2;8;3229;sp17;S2.170;13.04.2022;2;1;14;10;94;8;FP
S1.339;1;8;3222;sp17;S1.339;19.05.2022;1;1;11;34;48;8;FP
S1.398;1;15;3079;sp17;S1.398;05.05.2022;1;2;8;21;7;15;FP
S3.63;3;15;3065;sp17;S3.63;21.04.2022;3;2;14;9;92;15;FP
S3.48;3;8;2973;sp17;S3.48;05.05.2022;3;1;9;24;18;8;FP
S1.323;1;15;2896;sp17;S1.323;13.04.2022;1;1;13;6;84;15;FP
S2.188;2;8;2889;sp17;S2.188;07.04.2022;2;1;13;1;67;8;FP
S1.333;1;8;2761;sp17;S1.333;07.04.2022;1;1;13;6;84;8;FP
S3.23;3;1;2670;sp17;S3.23;31.03.2022;3;1;13;6;83;1;FP
S1.412;1;15;2658;sp17;S1.412;19.05.2022;1;2;10;28;29;15;FP
S1.405;1;15;2627;sp17;S1.405;25.05.2022;1;2;11;34;48;15;FP
S2.155;2;1;2566;sp17;S2.155;31.03.2022;2;1;13;3;75;1;FP
S1.286;1;1;2550;sp17;S1.286;05.05.2022;1;1;10;30;36;1;FP
S3.30;3;8;2403;sp17;S3.30;13.04.2022;3;1;14;8;88;8;FP
S3.33;3;8;2400;sp17;S3.33;13.04.2022;3;1;14;9;92;8;FP
S1.317;1;8;2299;sp17;S1.317;19.05.2022;1;1;11;31;39;8;FP
S2.168;2;8;2295;sp17;S2.168;28.04.2022;2;1;8;19;2;8;FP
S2.173;2;8;2260;sp17;S2.173;13.04.2022;2;1;14;7;85;8;FP
S3.134;3;54;2258;sp17;S3.134;13.06.2022;3;3;8;21;8;54;FP
S2.214;2;15;2121;sp17;S2.214;21.04.2022;2;2;14;10;94;15;FP
S1.287;1;1;2099;sp17;S1.287;12.05.2022;1;1;11;31;39;1;FP
S2.177;2;8;2073;sp17;S2.177;12.05.2022;2;1;10;29;31;8;FP
S2.196;2;15;2011;sp17;S2.196;13.04.2022;2;1;13;1;67;15;FP
S1.310;1;8;1936;sp17;S1.310;28.04.2022;1;1;8;21;7;8;FP
S3.51;3;8;1848;sp17;S3.51;28.04.2022;3;1;8;21;8;8;FP
S2.203;2;15;1762;sp17;S2.203;12.05.2022;2;2;9;25;20;15;FP
S3.52;3;8;1752;sp17;S3.52;28.04.2022;3;1;8;20;6;8;FP
S3.79;3;15;1736;sp17;S3.79;19.05.2022;3;2;10;27;26;15;FP
S2.192;2;15;1721;sp17;S2.192;13.04.2022;2;1;13;6;82;15;FP
S3.53;3;8;1697;sp17;S3.53;28.04.2022;3;1;8;19;1;8;FP
S3.42;3;8;1694;sp17;S3.42;19.05.2022;3;1;11;31;38;8;FP
S1.309;1;8;1661;sp17;S1.309;28.04.2022;1;1;8;22;12;8;FP
S3.39;3;8;1596;sp17;S3.39;07.04.2022;3;1;13;2;72;8;FP
S1.304;1;8;1550;sp17;S1.304;13.04.2022;1;1;14;7;87;8;FP
S1.311;1;8;1528;sp17;S1.311;28.04.2022;1;1;8;20;4;8;FP
S2.137;2;1;1513;sp17;S2.137;21.04.2022;2;1;8;19;2;1;FP
S1.330;1;15;1499;sp17;S1.330;13.04.2022;1;1;13;5;80;15;FP
S3.68;3;15;1488;sp17;S3.68;21.04.2022;3;2;14;7;86;15;FP
S1.319;1;8;1410;sp17;S1.319;12.05.2022;1;1;10;28;29;8;FP
S2.194;2;15;1385;sp17;S2.194;13.04.2022;2;1;13;4;77;15;FP
S2.148;2;1;1314;sp17;S2.148;12.05.2022;2;1;11;31;37;1;FP
S3.36;3;8;1308;sp17;S3.36;05.05.2022;3;1;9;26;23;8;FP
S3.50;3;8;1297;sp17;S3.50;28.04.2022;3;1;8;22;10;8;FP
S1.318;1;8;1263;sp17;S1.318;12.05.2022;1;1;10;29;32;8;FP
S3.55;3;15;1233;sp17;S3.55;13.04.2022;3;1;13;5;79;15;FP
S3.26;3;1;1221;sp17;S3.26;07.04.2022;3;1;14;11;98;1;FP
S3.45;3;8;1182;sp17;S3.45;12.05.2022;3;1;10;29;33;8;FP
S1.307;1;8;1179;sp17;S1.307;05.05.2022;1;1;9;24;17;8;FP
S2.190;2;8;1166;sp17;S2.190;19.05.2022;2;1;11;33;43;8;FP
S3.57;3;15;1092;sp17;S3.57;13.04.2022;3;1;13;3;73;15;FP
S2.218;2;15;1067;sp17;S2.218;21.04.2022;2;2;14;12;101;15;FP
S2.178;2;8;1058;sp17;S2.178;12.05.2022;2;1;10;28;30;8;FP
S3.11;3;1;1039;sp17;S3.11;05.05.2022;3;1;10;29;33;1;FP
S1.332;1;15;943;sp17;S1.332;13.04.2022;1;1;13;1;68;15;FP
S3.41;3;8;926;sp17;S3.41;19.05.2022;3;1;11;32;41;8;FP
S1.303;1;8;918;sp17;S1.303;13.04.2022;1;1;14;12;100;8;FP
S3.73;3;15;908;sp17;S3.73;25.05.2022;3;2;11;32;41;15;FP
S1.329;1;15;906;sp17;S1.329;13.04.2022;1;1;13;5;80;15;FP
S2.182;2;8;871;sp17;S2.182;05.05.2022;2;1;9;24;16;8;FP
S1.316;1;8;859;sp17;S1.316;19.05.2022;1;1;11;32;42;8;FP
S2.237;2;29;806;sp17;S2.237;28.04.2022;2;3;13;2;71;29;FP
